date,block,velocity
2013-11-13,A,0.182
2013-11-13,B,0.1466666667
2013-11-13,C,0.022
2013-11-13,D,0.1066666667
2013-11-13,E,0.0866666667
2013-11-13,F,0.0783333333
2013-11-20,A,0.1833333333
2013-11-20,B,0.13
2013-11-20,C,0.02
2013-11-20,D,0.1283333333
2013-11-20,E,0.1016666667
2013-11-20,F,0.11
2013-11-27,A,0.2666666667
2013-11-27,B,0.205
2013-11-27,C,0.065
2013-11-27,D,0.2183333333
2013-11-27,E,0.165
2013-11-27,F,0.2016666667
2013-12-05,A,0.2383333333
2013-12-05,B,0.185
2013-12-05,C,0.025
2013-12-05,D,0.22
2013-12-05,E,0.1116666667
2013-12-05,F,0.1683333333
2013-12-12,A,0.3016666667
2013-12-12,B,0.1866666667
2013-12-12,C,0.0083333333
2013-12-12,D,0.22
2013-12-12,E,0.3066666667
2013-12-12,F,0.2016666667
